"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 18:57:51 GMT 2024","Fri Nov 22 18:57:51 GMT 2024","204","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectIsNotCreatedForEmptyIdTest","User should not be able to create project with empty Id",""
"passed","Fri Nov 22 18:57:51 GMT 2024","Fri Nov 22 18:57:51 GMT 2024","271","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectIsNotCreatedForTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Fri Nov 22 18:57:49 GMT 2024","Fri Nov 22 18:57:49 GMT 2024","360","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectCreatedForRussianPolishEncodingInNameTest","User can create project with Russian and Polish symbols in name",""
"passed","Fri Nov 22 18:56:25 GMT 2024","Fri Nov 22 18:57:25 GMT 2024","59647","Surefire suite","Surefire test","org.example.teamcitypro.ui.SetupServerTest","org.example.teamcitypro.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 22 18:57:48 GMT 2024","Fri Nov 22 18:57:48 GMT 2024","437","Surefire suite","Surefire test","org.example.teamcitypro.api.BuildTypeTest","org.example.teamcitypro.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Fri Nov 22 18:57:49 GMT 2024","Fri Nov 22 18:57:49 GMT 2024","275","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectCreatedFor4000SymbolsInNameTest","User can create project with 4000 symbols in name",""
"passed","Fri Nov 22 18:57:50 GMT 2024","Fri Nov 22 18:57:50 GMT 2024","257","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectCreatedForStandardPositiveCaseTest","User should be able to create project",""
"passed","Fri Nov 22 18:57:44 GMT 2024","Fri Nov 22 18:57:46 GMT 2024","2078","Surefire suite","Surefire test","org.example.teamcitypro.api.BuildTypeTest","org.example.teamcitypro.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Fri Nov 22 18:57:46 GMT 2024","Fri Nov 22 18:57:47 GMT 2024","1147","Surefire suite","Surefire test","org.example.teamcitypro.api.BuildTypeTest","org.example.teamcitypro.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Fri Nov 22 18:57:50 GMT 2024","Fri Nov 22 18:57:50 GMT 2024","236","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectCreatedForSpecialSymbolsInNameTest","User can create project with special symbols in name",""
"passed","Fri Nov 22 18:57:51 GMT 2024","Fri Nov 22 18:57:51 GMT 2024","152","Surefire suite","Surefire test","org.example.teamcitypro.api.ProjectTest","org.example.teamcitypro.api.ProjectTest","projectIsNotCreatedForEmptyNameTest","User should not be able to create project with empty name",""
"passed","Fri Nov 22 18:57:47 GMT 2024","Fri Nov 22 18:57:48 GMT 2024","465","Surefire suite","Surefire test","org.example.teamcitypro.api.BuildTypeTest","org.example.teamcitypro.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
