"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 18:58:31 GMT 2024","Fri Nov 22 18:58:51 GMT 2024","19374","Surefire suite","Surefire test","org.example.teamcitypro.ui.CreateBuildTypeTest","org.example.teamcitypro.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create a build type",""
"failed","Fri Nov 22 18:57:26 GMT 2024","Fri Nov 22 18:58:30 GMT 2024","63759","Surefire suite","Surefire test","org.example.teamcitypro.ui.CreateProjectTest","org.example.teamcitypro.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Fri Nov 22 18:58:52 GMT 2024","Fri Nov 22 18:59:06 GMT 2024","13380","Surefire suite","Surefire test","org.example.teamcitypro.ui.CreateBuildTypeTest","org.example.teamcitypro.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyName","User should NOT be able to create a build type without name",""
"passed","Fri Nov 22 18:56:17 GMT 2024","Fri Nov 22 18:57:12 GMT 2024","55863","Surefire suite","Surefire test","org.example.teamcitypro.ui.SetupServerTest","org.example.teamcitypro.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Fri Nov 22 18:58:31 GMT 2024","Fri Nov 22 18:58:31 GMT 2024","1","Surefire suite","Surefire test","org.example.teamcitypro.ui.CreateProjectTest","org.example.teamcitypro.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
